table;dur;birth;death;chngs;s@s;s@e;sAvg
opencart_address;5;18;22;0;11;11;11.0
opencart_category;5;18;22;0;6;6;6.0
opencart_category_description;5;18;22;1;5;5;5.0
opencart_country;5;18;22;0;5;5;5.0
opencart_coupon;5;18;22;1;12;13;12.4
opencart_coupon_description;5;18;22;0;4;4;4.0
opencart_coupon_product;5;18;22;0;3;3;3.0
opencart_currency;5;18;22;0;9;9;9.0
opencart_customer;5;18;22;1;13;14;13.8
opencart_customer_group;4;19;22;0;2;2;2.0
opencart_download;5;18;22;0;5;5;5.0
opencart_download_description;5;18;22;0;3;3;3.0
opencart_extension;5;18;22;0;3;3;3.0
opencart_geo_zone;5;18;22;0;5;5;5.0
opencart_information;5;18;22;0;2;2;2.0
opencart_information_description;5;18;22;0;4;4;4.0
opencart_language;5;18;22;0;9;9;9.0
opencart_manufacturer;5;18;22;0;4;4;4.0
opencart_measurement_class;4;19;22;0;4;4;4.0
opencart_measurement_rule;4;19;22;0;3;3;3.0
opencart_order;5;18;22;4;40;44;41.6
opencart_order_download;5;18;22;0;7;7;7.0
opencart_order_history;5;18;22;0;6;6;6.0
opencart_order_option;5;18;22;1;7;8;7.4
opencart_order_product;5;18;22;1;10;9;9.2
opencart_order_status;5;18;22;0;3;3;3.0
opencart_order_total;5;18;22;0;6;6;6.0
opencart_product;5;18;22;5;20;22;21.2
opencart_product_description;5;18;22;1;5;5;5.0
opencart_product_discount;5;18;22;6;4;8;7.2
opencart_product_image;5;18;22;0;3;3;3.0
opencart_product_option;5;18;22;0;3;3;3.0
opencart_product_option_description;5;18;22;0;4;4;4.0
opencart_product_option_value;5;18;22;2;6;8;6.8
opencart_product_option_value_description;5;18;22;0;4;4;4.0
opencart_product_related;5;18;22;0;2;2;2.0
opencart_product_special;4;18;22;0;5;7;6.5
opencart_product_to_category;5;18;22;0;2;2;2.0
opencart_product_to_download;5;18;22;0;2;2;2.0
opencart_review;5;18;22;0;9;9;9.0
opencart_setting;5;18;22;0;4;4;4.0
opencart_stock_status;5;18;22;0;3;3;3.0
opencart_tax_class;5;18;22;0;5;5;5.0
opencart_tax_rate;5;18;22;0;8;8;8.0
opencart_url_alias;5;18;22;0;3;3;3.0
opencart_user;5;18;22;0;10;10;10.0
opencart_user_group;5;18;22;0;3;3;3.0
opencart_weight_class;5;18;22;0;4;4;4.0
opencart_weight_rule;5;18;22;0;3;3;3.0
opencart_zone;5;18;22;0;4;4;4.0
opencart_zone_to_geo_zone;5;18;22;0;6;6;6.0
option;1;0;0;0;3;3;3.0
option_value;1;0;0;0;4;4;4.0
order;17;0;16;13;39;40;39.117645
order_download;17;0;16;0;7;7;7.0
order_history;17;0;16;0;6;6;6.0
order_option;17;0;16;0;7;7;7.0
order_product;17;0;16;1;9;10;9.941176
order_status;17;0;16;0;3;3;3.0
order_total;17;0;16;0;6;6;6.0
product;17;0;16;3;17;17;17.0
product_description;17;0;16;2;4;5;4.2941175
product_discount;17;0;16;0;4;4;4.0
product_image;16;1;16;0;3;3;3.0
product_option;16;1;16;0;3;3;3.0
product_option_description;16;1;16;1;4;4;4.0
product_option_value;16;1;16;0;6;6;6.0
product_option_value_description;16;1;16;1;4;4;4.0
product_related;3;14;16;0;2;2;2.0
product_special;4;13;16;0;5;5;5.0
product_to_category;17;0;16;0;2;2;2.0
product_to_download;17;0;16;0;2;2;2.0
product_to_image;1;0;0;0;2;2;2.0
product_to_option;1;0;0;0;7;7;7.0
review;17;0;16;0;9;9;9.0
setting;17;0;16;1;4;4;4.0
stock_status;17;0;16;0;3;3;3.0
tax_class;17;0;16;0;5;5;5.0
tax_rate;17;0;16;0;8;8;8.0
url_alias;1;0;0;0;3;3;3.0
user;17;0;16;0;10;10;10.0
user_group;17;0;16;0;3;3;3.0
weight_class;17;0;16;0;4;4;4.0
weight_rule;17;0;16;0;3;3;3.0
zone;17;0;16;1;4;4;4.0
zone_to_geo_zone;17;0;16;0;6;6;6.0
